"DataHora","Velo_metro_segundo","TempAr","TempOrvalho","Pressao","DirectX","DirectY"
05/03/2007 10:00:00,3.6011111111,27,16,1018,0.87,-0.50
05/03/2007 11:00:00,3.0866666667,29,16,1018,0.87,-0.50
05/03/2007 12:00:00,4.1155555556,29,16,1017,0.77,0.64
05/03/2007 13:00:00,4.1155555556,29,17,1016,0.87,0.50
05/03/2007 14:00:00,3.0866666667,29,18,1016,0.87,-0.50
05/03/2007 15:00:00,4.63,30,17,1016,0.98,0.17
05/03/2007 16:00:00,5.1444444444,29,19,1016,0.64,0.77
05/03/2007 17:00:00,6.1733333333,26,19,1016,0.77,0.64
05/03/2007 18:00:00,4.1155555556,26,20,1017,0.87,0.50
05/03/2007 19:00:00,3.6011111111,25,20,1018,0.98,0.17
05/03/2007 20:00:00,2.5722222222,25,20,1018,0.87,-0.50
05/03/2007 21:00:00,2.0577777778,25,21,1018,1.00,0.00
05/03/2007 22:00:00,3.0866666667,24,21,1019,0.98,-0.17
05/03/2007 23:00:00,2.0577777778,22,21,1019,0.17,0.98
05/04/2007 00:00:00,2.5722222222,22,21,1019,-0.64,0.77
05/04/2007 01:00:00,1.5433333333,22,21,1019,-0.64,0.77
05/04/2007 02:00:00,1.0288888889,22,21,1019,-0.94,0.34
05/04/2007 03:00:00,1.0288888889,22,21,1018,-1.00,0.00
05/04/2007 04:00:00,1.5433333333,22,21,1018,-0.98,0.17
05/04/2007 05:00:00,1.0288888889,22,21,1019,-1.00,0.00
05/04/2007 06:00:00,2.5722222222,21,20,1019,-0.98,-0.17
05/04/2007 07:00:00,2.0577777778,22,21,1020,-0.94,0.34
05/04/2007 08:00:00,2.5722222222,24,20,1021,-1.00,0.00
05/04/2007 09:00:00,3.6011111111,24,21,1022,-1.00,0.00
05/04/2007 10:00:00,4.63,25,20,1022,-0.64,0.77
05/04/2007 11:00:00,4.63,26,19,1021,-0.64,0.77
05/04/2007 12:00:00,5.6588888889,25,17,1021,-0.77,0.64
05/04/2007 13:00:00,6.1733333333,26,17,1020,-0.64,0.77
05/04/2007 14:00:00,5.6588888889,26,18,1019,-0.34,0.94
05/04/2007 15:00:00,6.6877777778,27,18,1019,-0.17,0.98
05/04/2007 16:00:00,7.2022222222,26,18,1019,-0.50,0.87
05/04/2007 17:00:00,6.1733333333,24,18,1019,-0.50,0.87
05/04/2007 18:00:00,4.63,23,18,1019,-0.50,0.87
