month,piso,corrigido
mai-11,1666,1666
jun-11,1666,1666.673064
jul-11,1666,1666.673064
ago-11,1666,1673.9414252321
set-11,1666,1680.4078609578
out-11,1666,1691.9253764368
nov-11,1666,1697.1043600141
dez-11,1666,1705.942879521
jan-12,1666,1714.4316512895
fev-12,1666,1737.0141450003
mar-12,1666,1739.2740004029
abr-12,1666,1749.5496311973
mai-12,1768.29,1761.4920569799
jun-12,1768.29,1769.0330044758
jul-12,1768.29,1773.1053184521
ago-12,1768.29,1780.6002346332
set-12,1768.29,1784.2059501083
out-12,1768.29,1791.7513570713
nov-12,1768.29,1806.2878358313
dez-12,1768.29,1816.4969746794
jan-13,1768.29,1824.3151776584
fev-13,1768.29,1856.6274480851
mar-13,1768.29,1858.77742267
abr-13,1768.29,1873.355813996
mai-13,1863.6,1879.2137976263
jun-13,1863.6,1890.5867995296
jul-13,1863.6,1897.1074334012
ago-13,1863.6,1898.9039941406
set-13,1863.6,1900.6699748551
out-13,1863.6,1905.2981062439
nov-13,1863.6,1917.5358359803
dez-13,1863.6,1926.0803756654
jan-14,1863.6,1934.5454989165
fev-14,1863.6,1972.2652670544
mar-14,1863.6,1984.2014164506
abr-14,1863.6,2000.3230529592
mai-14,1863.6,2011.6268785315
jun-14,1863.6,2014.4491910421
jul-14,1863.6,2014.4874655767
ago-14,1863.6,2028.2423859917
set-14,1911.49,2028.5871871973
out-14,1911.49,2033.190051525
nov-14,1911.49,2043.3438026424
dez-14,1960.62,2054.0672709186
jan-15,1960.62,2064.7915561401
fev-15,1960.62,2111.3195690662
mar-15,1960.62,2140.9244920636
abr-15,1960.62,2167.8830132677
mai-15,2039.04,2179.7803552445
jun-15,2039.04,2192.165867223
jul-15,2039.04,2210.0276347091
ago-15,2039.04,2231.0184771836
set-15,2039.04,2232.3816294731
out-15,2102.05,2243.2042156128
nov-15,2102.05,2260.8043958885
dez-15,2102.05,2283.9120776189
jan-16,2102.05,2301.4388189025
