month,piso,corrigido
mai-11,5691.08,5691.08
jun-11,5691.08,5693.37919632
jul-11,5691.08,5693.37919632
ago-11,5691.08,5718.2080229952
set-11,5691.08,5740.297460588
out-11,5691.08,5779.6414593829
nov-11,5691.08,5797.33294189
dez-11,5691.08,5827.5254518514
jan-12,5691.08,5856.5232184998
fev-12,5691.08,5933.6653423339
mar-12,5691.08,5941.3850409443
abr-12,5691.08,5976.4867437662
mai-12,6040.48,6017.2822422791
jun-12,6040.48,6043.0422275583
jul-12,6040.48,6056.9533107661
ago-12,6040.48,6082.5560524108
set-12,6040.48,6094.8732284169
out-12,6040.48,6120.6484472999
nov-12,6040.48,6170.3052681528
dez-12,6040.48,6205.1798335284
jan-13,6040.48,6231.8869275319
fev-13,6040.48,6342.2661087924
mar-13,6040.48,6349.6104529463
abr-13,6040.48,6399.4104477288
mai-13,6366.11,6419.4214041988
jun-13,6366.11,6458.2717425371
jul-13,6366.11,6480.5463217771
ago-13,6366.11,6486.6833991438
set-13,6366.11,6492.716014705
out-13,6366.11,6508.5257782008
nov-13,6366.11,6550.3300392742
dez-13,6366.11,6579.5183099292
jan-14,6366.11,6608.4352929013
fev-14,6366.11,6737.2865642423
mar-14,6366.11,6778.0606225291
abr-14,6366.11,6833.1323650872
mai-14,6366.11,6871.7463960823
jun-14,6366.11,6881.387456276
jul-14,6366.11,6881.5182026376
ago-14,6366.11,6928.5052089253
set-14,6529.66,6929.6830548108
out-14,6529.66,6945.4065056621
nov-14,6529.66,6980.0918657514
dez-14,6697.54,7016.7233878629
jan-15,6697.54,7053.3577006709
fev-15,6697.54,7212.2980630978
mar-15,6697.54,7313.4289065386
abr-15,6697.54,7405.5196033297
mai-15,6965.4,7446.1610949128
jun-15,6965.4,7488.4701822541
jul-15,6965.4,7549.4862372991
ago-15,6965.4,7621.191257581
set-15,6965.4,7625.8478054393
out-15,7180.67,7662.8179156001
nov-15,7180.67,7722.9403849659
dez-15,7180.67,7801.8765586406
jan-16,7180.67,7861.7481593517
