month,piso,corrigido
mai-11,3026.54,3026.54
jun-11,3026.54,3027.76272216
jul-11,3026.54,3027.76272216
ago-11,3026.54,3040.9667953913
set-11,3026.54,3052.7140501219
out-11,3026.54,3073.6373522215
nov-11,3026.54,3083.0457561566
dez-11,3026.54,3099.1022584547
jan-12,3026.54,3114.5233912928
fev-12,3026.54,3155.5478934029
mar-12,3026.54,3159.6532612122
abr-12,3026.54,3178.3204926794
mai-12,3212.36,3200.0157083625
jun-12,3212.36,3213.71497561
jul-12,3212.36,3221.1129474838
ago-12,3212.36,3234.7285919128
set-12,3212.36,3241.2789173115
out-12,3212.36,3254.9862858528
nov-12,3212.36,3281.3939895899
dez-12,3212.36,3299.940428419
jan-13,3212.36,3314.143372023
fev-13,3212.36,3372.8434794282
mar-13,3212.36,3376.7492321774
abr-13,3212.36,3403.2330764054
mai-13,3385.52,3413.8749862353
jun-13,3385.52,3434.535757652
jul-13,3385.52,3446.3814714801
ago-13,3385.52,3449.6451947336
set-13,3385.52,3452.8533647647
out-13,3385.52,3461.2610627079
nov-13,3385.52,3483.4927425137
dez-13,3385.52,3499.0151861743
jan-14,3385.52,3514.3933579176
fev-14,3385.52,3582.9169996103
mar-14,3385.52,3604.6008132919
abr-14,3385.52,3633.8881948999
mai-14,3385.52,3654.4232970893
jun-14,3385.52,3659.5504529751
jul-14,3385.52,3659.6199844337
ago-14,3385.52,3684.6078696874
set-14,3472.5,3685.2342530253
out-14,3472.5,3693.5960495454
nov-14,3472.5,3712.0418682168
dez-14,3561.77,3731.5226639412
jan-15,3561.77,3751.0049437696
fev-15,3561.77,3835.5300891725
mar-15,3561.77,3889.3118920829
abr-15,3561.77,3938.286107428
mai-15,3704.23,3959.8994215856
jun-15,3704.23,3982.399570099
jul-15,3704.23,4014.8481617962
ago-15,3704.23,4052.981189637
set-15,3704.23,4055.4575611438
out-15,3818.71,4075.1184194003
nov-15,3818.71,4107.0917985189
dez-15,3818.71,4149.0703837915
jan-16,3818.71,4180.9103499167
